event_id,release_date,hop,p_i,n_i,prefix_probability,ci_lower,ci_upper,ci_width,state,reason,evsi,review_cost,break_even_probability,execution_reached,is_executed_stop,evaluation_mode,link_parameter_variance_share,measurement_variance_share,regime_drift_variance_share,common_frailty_variance_share,external_cutoff_variance_share
NFP_201509_REL_20151002,2015-10-02,1,0.20658855468943438,63.5128838585354,0.20424802693652067,0.08773119925968295,0.364140733061088,0.2764095338014051,CONTINUE,next_review_evsi_exceeds_cost,0.020814042266739653,0.01,0.20800000000000002,True,False,executed,0.5739135611535942,0.003546021905576738,0.3079869447771112,0.13953929374256338,0.0006998062115100976
NFP_201509_REL_20151002,2015-10-02,2,0.4832848689249544,21.06495016347412,0.09917777290721824,0.02821361112880953,0.20746417520832,0.17925056407951048,STOP_REJECT,ci_upper_below_break_even,4.5985181599212136e-05,0.01,0.20800000000000002,True,True,executed,0.6208675466666829,0.003037764948901087,0.24107469795998832,0.12726597475593207,0.00038329860829679896
NFP_201509_REL_20151002,2015-10-02,3,0.47036305139238005,14.861855942812628,0.04665034246226253,0.009409155998973302,0.1097115974160326,0.1003024414170593,STOP_REJECT,ci_upper_below_break_even,2.3155904833900063e-10,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.6484168544407516,0.0025757147066943703,0.18930479428352504,0.11484126068774717,0.00023182037629304318
NFP_201510_REL_20151106,2015-11-06,1,0.4003535692176036,63.5128838585354,0.3958201401392641,0.22175727311220195,0.5817578333865638,0.3600005602743619,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,4.718447854656915e-16,0.01,0.20800000000000002,True,True,executed,0.5857289969051673,0.004713147316376449,0.3319943554098292,0.18360709870923062,0.0016671150263273527
NFP_201510_REL_20151106,2015-11-06,2,0.5249439770766153,21.06495016347412,0.20821890140905122,0.09214382428473068,0.357372559012847,0.2652287347281163,CONTINUE,next_review_evsi_exceeds_cost,0.020555374729338542,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.620365831005245,0.004424969051733708,0.2737041490061478,0.17775057161888091,0.000844645879666814
NFP_201510_REL_20151106,2015-11-06,3,0.4009344331976304,14.861855942812628,0.0837817727943156,0.026189547577290077,0.17424473839823915,0.14805519082094906,STOP_REJECT,ci_upper_below_break_even,8.156688402689277e-07,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.6709287211525958,0.003574729940233068,0.21779520341325373,0.1522247149594354,0.00040688338782263346
NFP_201511_REL_20151204,2015-12-04,1,0.24335576533459083,63.5128838585354,0.24065913579499698,0.1120667908572439,0.412351912368834,0.3002851215115901,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,0.006943026293460691,0.01,0.20800000000000002,True,True,executed,0.5884468014612547,0.003952991384163688,0.25443761741867355,0.154656924489524,0.0008619851729184857
NFP_201511_REL_20151204,2015-12-04,2,0.48798180457277934,21.06495016347412,0.11749005662431132,0.03932055594508749,0.23503663118310017,0.19571607523801268,STOP_REJECT,next_review_evsi_below_cost,0.0001714426401996987,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.6464178389686548,0.003345869010994754,0.20456384079709508,0.14371192415167477,0.00046757911179044884
NFP_201511_REL_20151204,2015-12-04,3,0.4420980009568144,14.861855942812628,0.052533431981954745,0.011784455919976218,0.12536045521852945,0.11357599929855323,STOP_REJECT,ci_upper_below_break_even,1.4560448426454213e-09,0.01,0.20800000000000002,False,False,counterfactual_after_stop,0.6033285518492327,0.0026299058861390043,0.15151483386604503,0.1201249922175847,0.0002556430652459804
NFP_201512_REL_20160108,2016-01-08,1,0.3832950520158072,63.5128838585354,0.3787862430105796,0.2017122225238434,0.577122737498951,0.37541051497510763,STOP_ABSTAIN,wide_ci_and_review_evsi_below_cost,0.0,0.01,0.20800000000000002,True,True,executed,0.533207371822034,0.004278541898553598,0.35411280664265443,0.1700372919168557,0.0015639075472271705
